cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,tvpol,polintr,trstprl,stfdem,gndr,agea
CH,ESS1-7e01,1.0,08.12.2016,40418,ESS7e02_1,7,2.1,1,1,1.01914540697935,0.452177154,4,3,8,10,1,63
CH,ESS1-7e01,1.0,08.12.2016,40419,ESS7e02_1,7,2.1,3,1,1.14055780323079,0.452177154,66,2,7,8,1,37
CH,ESS1-7e01,1.0,08.12.2016,40420,ESS7e02_1,7,2.1,5,1,1.01914540697935,0.452177154,2,2,8,9,1,69
CH,ESS1-7e01,1.0,08.12.2016,40421,ESS7e02_1,7,2.1,9,1,1.14055780323079,0.452177154,1,2,7,9,1,51
CH,ESS1-7e01,1.0,08.12.2016,40422,ESS7e02_1,7,2.1,10,1,1.16105926149759,0.452177154,66,2,5,6,2,27
CH,ESS1-7e01,1.0,08.12.2016,40423,ESS7e02_1,7,2.1,12,1,1.14055780323079,0.452177154,3,1,9,10,1,45
CH,ESS1-7e01,1.0,08.12.2016,40424,ESS7e02_1,7,2.1,14,1,1.14055780323079,0.452177154,1,2,10,9,1,44
CH,ESS1-7e01,1.0,08.12.2016,40425,ESS7e02_1,7,2.1,15,1,1.14055780323079,0.452177154,1,4,6,7,1,35
CH,ESS1-7e01,1.0,08.12.2016,40426,ESS7e02_1,7,2.1,16,1,1.16833314874972,0.452177154,1,4,88,5,2,62
CH,ESS1-7e01,1.0,08.12.2016,40427,ESS7e02_1,7,2.1,22,1,1.16833314874972,0.452177154,3,4,5,6,2,75
CH,ESS1-7e01,1.0,08.12.2016,40428,ESS7e02_1,7,2.1,25,1,1.17285724393997,0.452177154,2,2,8,7,1,30
CH,ESS1-7e01,1.0,08.12.2016,40429,ESS7e02_1,7,2.1,26,1,1.10658342266732,0.452177154,2,2,8,8,2,49
CH,ESS1-7e01,1.0,08.12.2016,40430,ESS7e02_1,7,2.1,28,1,1.14055780323079,0.452177154,2,2,8,9,1,51
CH,ESS1-7e01,1.0,08.12.2016,40431,ESS7e02_1,7,2.1,29,1,1.16105926149759,0.452177154,1,3,6,5,2,32
CH,ESS1-7e01,1.0,08.12.2016,40432,ESS7e02_1,7,2.1,30,1,1.16833314874972,0.452177154,2,2,7,8,2,60
CH,ESS1-7e01,1.0,08.12.2016,40433,ESS7e02_1,7,2.1,34,1,1.16833314874972,0.452177154,2,2,8,8,2,86
CH,ESS1-7e01,1.0,08.12.2016,40434,ESS7e02_1,7,2.1,36,1,1.16105926149759,0.452177154,2,3,7,8,2,31
CH,ESS1-7e01,1.0,08.12.2016,40435,ESS7e02_1,7,2.1,40,1,1.01914540697935,0.452177154,2,3,3,8,1,75
CH,ESS1-7e01,1.0,08.12.2016,40436,ESS7e02_1,7,2.1,41,1,1.17285724393997,0.452177154,2,3,3,7,1,30
CH,ESS1-7e01,1.0,08.12.2016,40437,ESS7e02_1,7,2.1,46,1,1.16105926149759,0.452177154,88,2,5,4,2,26
CH,ESS1-7e01,1.0,08.12.2016,40438,ESS7e02_1,7,2.1,50,1,1.14055780323079,0.452177154,1,4,5,88,1,52
CH,ESS1-7e01,1.0,08.12.2016,40439,ESS7e02_1,7,2.1,51,1,1.16833314874972,0.452177154,3,2,5,6,2,65
CH,ESS1-7e01,1.0,08.12.2016,40440,ESS7e02_1,7,2.1,52,1,1.14055780323079,0.452177154,4,1,9,8,1,35
CH,ESS1-7e01,1.0,08.12.2016,40441,ESS7e02_1,7,2.1,53,1,1.01914540697935,0.452177154,1,3,7,7,1,67
CH,ESS1-7e01,1.0,08.12.2016,40442,ESS7e02_1,7,2.1,55,1,1.14055780323079,0.452177154,1,1,6,7,1,49
CH,ESS1-7e01,1.0,08.12.2016,40443,ESS7e02_1,7,2.1,56,1,1.14055780323079,0.452177154,5,1,6,8,1,43
CH,ESS1-7e01,1.0,08.12.2016,40444,ESS7e02_1,7,2.1,57,1,1.10658342266732,0.452177154,1,3,6,7,2,50
CH,ESS1-7e01,1.0,08.12.2016,40445,ESS7e02_1,7,2.1,58,1,1.01914540697935,0.452177154,4,3,8,8,1,85
CH,ESS1-7e01,1.0,08.12.2016,40446,ESS7e02_1,7,2.1,60,1,1.01914540697935,0.452177154,3,2,5,8,1,69
CH,ESS1-7e01,1.0,08.12.2016,40447,ESS7e02_1,7,2.1,65,1,1.10658342266732,0.452177154,3,2,6,8,2,38
CH,ESS1-7e01,1.0,08.12.2016,40448,ESS7e02_1,7,2.1,66,1,1.10658342266732,0.452177154,2,3,88,5,2,40
CH,ESS1-7e01,1.0,08.12.2016,40449,ESS7e02_1,7,2.1,68,1,1.16105926149759,0.452177154,0,2,88,8,2,26
CH,ESS1-7e01,1.0,08.12.2016,40450,ESS7e02_1,7,2.1,69,1,1.01914540697935,0.452177154,2,1,7,10,1,56
CH,ESS1-7e01,1.0,08.12.2016,40451,ESS7e02_1,7,2.1,70,1,1.17285724393997,0.452177154,2,2,7,8,1,26
CH,ESS1-7e01,1.0,08.12.2016,40452,ESS7e02_1,7,2.1,71,1,1.16833314874972,0.452177154,2,4,8,88,2,81
CH,ESS1-7e01,1.0,08.12.2016,40453,ESS7e02_1,7,2.1,73,1,1.01914540697935,0.452177154,2,3,10,10,1,60
CH,ESS1-7e01,1.0,08.12.2016,40454,ESS7e02_1,7,2.1,74,1,1.10658342266732,0.452177154,2,4,10,10,2,44
CH,ESS1-7e01,1.0,08.12.2016,40455,ESS7e02_1,7,2.1,75,1,1.16105926149759,0.452177154,2,1,10,10,2,34
CH,ESS1-7e01,1.0,08.12.2016,40456,ESS7e02_1,7,2.1,76,1,1.17285724393997,0.452177154,66,1,8,8,1,22
CH,ESS1-7e01,1.0,08.12.2016,40457,ESS7e02_1,7,2.1,77,1,1.10658342266732,0.452177154,3,3,8,7,2,42
CH,ESS1-7e01,1.0,08.12.2016,40458,ESS7e02_1,7,2.1,79,1,1.14055780323079,0.452177154,2,2,7,9,1,54
CH,ESS1-7e01,1.0,08.12.2016,40459,ESS7e02_1,7,2.1,81,1,1.10658342266732,0.452177154,0,3,8,8,2,35
